id,serial,pub,class,refclass
7367631,Advances in Mathematics,2021,"['05C10', '05C42', '52C10', '05D10']","['03D15', '05-01', '05A05', '05A18', '05A99', '05B25', '05B30', '05B99', '05C10', '05C10', '05C10', '05C10', '05C10', '05C10', '05C10', '05C10', '05C10', '05C10', '05C10', '05C10', '05C10', '05C15', '05C15', '05C25', '05C30', '05C35', '05C35', '05C35', '05C35', '05C35', '05C35', '05C35', '05C35', '05C35', '05C35', '05C35', '05C35', '05C35', '05C38', '05C40', '05C40', '05C42', '05C55', '05C62', '05C62', '05C65', '05C65', '05C69', '05C69', '05C85', '05C85', '05C85', '05C99', '05C99', '05D10', '05D10', '05D10', '05D10', '05D10', '05D10', '05D15', '05D15', '06A06', '06A06', '06A07', '06A07', '12Y05', '14P10', '14P10', '42B25', '51A99', '51M05', '51M30', '52-02', '52-02', '52A10', '52A22', '52A22', '52A35', '52A37', '52B55', '52C05', '52C10', '52C10', '52C10', '52C10', '52C10', '52C10', '52C10', '52C10', '52C15', '52C17', '52C20', '52C22', '52C35', '52C35', '52C35', '52C35', '52C45', '52C45', '52C99', '53A04', '55M20', '60C05', '68-01', '68-02', '68P05', '68P10', '68P10', '68Q17', '68Q25', '68Q25', '68Q25', '68Q25', '68Q25', '68R05', '68R05', '68R05', '68R10', '68R10', '68R10', '68R10', '68U05', '68U05', '68U05', '68U05', '68U05', '68U05', '68U05', '68U05', '68U05', '68U05', '68W05', '68W10', '68W20', '68W20', '68W20', '68W25', '68W40', '90C05', '90C05', '94B05']"
7367632,Advances in Mathematics,2021,"['14H10', '14H15', '81T11', '35Q53', '14H70']","['14C17', '14C17', '14C17', '14C35', '14D20', '14D21', '14H10', '14H10', '14H10', '14H10', '14H10', '14H10', '14H10', '14H10', '14H10', '14H10', '14H10', '14H10', '14H10', '14H10', '14H10', '14H15', '14H70', '14H70', '14H70', '14H70', '14J33', '14J33', '14J33', '14J45', '14J81', '14N10', '14N35', '14N35', '14N35', '14N35', '14N35', '14N35', '14N35', '14N35', '14N35', '14N35', '14N35', '14N35', '14N35', '14N35', '14N35', '14N35', '17B65', '17B80', '32G15', '32G81', '32S25', '32S30', '35J10', '35P05', '35Q40', '35Q53', '35Q58', '35S35', '37J35', '37J35', '37J99', '37K05', '37K05', '37K10', '37K10', '37K10', '37K10', '37K10', '37K10', '37K10', '37K10', '37K10', '37K10', '37K10', '37K10', '37K10', '37K10', '37K10', '37K10', '37K20', '37K20', '37K20', '37K25', '37K25', '37K30', '37K35', '53D45', '53D45', '53D45', '53D45', '53D45', '53D45', '53D45', '53D45', '53D45', '53D55', '53Z05', '58A14', '58D30', '81R12', '81R25', '81S10', '81T40', '81T40', '81T40', '81T40', '81T45', '81T45', '81T45', '81T70', '83C60', '83E30']"
7367633,Advances in Mathematics,2021,"['55N31', '18F20']","['18F20', '32S60', '32S60', '54H20', '55N10', '55N31', '55N33', '55N35', '55N35', '55N45', '57N80', '57N80', '57N80', '57P99', '57Q99', '57R05', '57R45', '58-02', '58A35', '58A35', '58C25', '58D99', '68U05', '68U05', '68U05', '68U10']"
7367634,Advances in Mathematics,2021,"['14N35', '14J45', '14J33']","['05E16', '11G35', '11G42', '11G42', '11G42', '14-02', '14-02', '14C40', '14D05', '14D05', '14D07', '14D07', '14D21', '14D21', '14E30', '14F08', '14F99', '14H50', '14J10', '14J10', '14J26', '14J26', '14J26', '14J26', '14J30', '14J30', '14J30', '14J32', '14J32', '14J32', '14J32', '14J32', '14J32', '14J33', '14J33', '14J33', '14J33', '14J33', '14J33', '14J33', '14J33', '14J33', '14J45', '14J45', '14J45', '14J45', '14J45', '14J45', '14J45', '14J45', '14J45', '14J45', '14J80', '14J81', '14M10', '14M10', '14M15', '14M15', '14M15', '14M15', '14M25', '14M25', '14M25', '14N10', '14N10', '14N10', '14N15', '14N35', '14N35', '14N35', '14N35', '14N35', '14N35', '14N35', '14N35', '14N35', '14N35', '14N35', '14N35', '14N35', '14N35', '14N35', '14N35', '14N35', '14N35', '14T20', '15-02', '15A15', '15A18', '15A18', '15A75', '15B48', '15B48', '15B48', '15B48', '15B48', '15B51', '20F55', '20G05', '20G20', '32G20', '32G20', '32G20', '32G20', '32G34', '32G81', '32J81', '32Q20', '32Q25', '32Q25', '34A26', '35Q15', '35Q53', '40A20', '47N50', '52B20', '53B50', '53C08', '53C38', '53D05', '53D37', '53D37', '53D37', '53D37', '53D37', '53D40', '53D45', '53D45', '53D45', '53D45', '53D45', '55P35', '57R17', '57R20', '57R58', '58J26', '58Z05', '60-02', '60J10', '81-02', '81T30', '81T30', '81T40', '81T40', '81T45', '81T60', '81T70', '81T70']"
7367635,Advances in Mathematics,2021,"['37A55', '46L05', '46L55']","['05B45', '18F25', '19M05', '20-02', '20F65', '20F67', '20L05', '20M18', '22-02', '22A22', '22A22', '22A26', '22D25', '22D30', '22F05', '22F10', '28D15', '37A15', '37A35', '37A55', '37A55', '37B05', '37B05', '37B05', '37B10', '37C45', '37C45', '37C85', '37D40', '43A07', '43A65', '46-02', '46-02', '46L05', '46L05', '46L05', '46L05', '46L05', '46L05', '46L05', '46L10', '46L35', '46L35', '46L35', '46L35', '46L35', '46L35', '46L35', '46L40', '46L55', '46L55', '46L55', '46L55', '46L55', '46L55', '46L80', '46L85', '46L85', '46L87', '46L89', '52C22', '54-02', '54-XX', '54C70', '54F45', '54F45', '54F45', '54F45', '54H20', '54H20', '54H20', '54H20', '57M07', '57R30', '58-02', '58H05', '58J20', '58J20', '58J40']"
7367636,Advances in Mathematics,2021,"['17B69', '81R10', '32Q99']","['14-02', '14D20', '14D21', '14F43', '14H10', '14H81', '16E99', '16S37', '17-01', '17-02', '17-02', '17-02', '17A30', '17A32', '17B20', '17B55', '17B56', '17B65', '17B65', '17B67', '17B67', '17B67', '17B67', '17B68', '17B68', '17B68', '17B69', '17B69', '17B69', '17B69', '17B69', '17B69', '17B69', '17B69', '17B69', '17Bxx', '18-02', '18D50', '18G50', '18G55', '46A03', '55P48', '55U35', '57T30', '58-02', '58B10', '58C25', '58D15', '81R10', '81R10', '81R10', '81T40', '81T40', '81T40']"
7367637,Advances in Mathematics,2021,"['14H60', '12H25', '14D05', '14G20', '34M35']","['11D25', '11G30', '11G35', '11G50', '11J81', '11S80', '12-02', '12H05', '12H25', '12H25', '12H25', '12H25', '13A18', '13A35', '14-01', '14-02', '14-02', '14-02', '14-02', '14B10', '14C30', '14D05', '14D05', '14D05', '14D05', '14D06', '14D20', '14D20', '14D22', '14F05', '14F10', '14F40', '14G05', '14G20', '14G22', '14G25', '14G35', '14G40', '14G40', '14G99', '14H10', '14K99', '14L24', '14L30', '14L30', '20C05', '22D40', '30F20', '32-02', '32G05', '32G15', '32G34', '32J05', '32L20', '32S30', '32S40', '34-02', '34G99', '34M15', '34M35', '34M55', '53C05', '53D45', '57K20', '57M05', '57M99', '57N05', '57N05', '57N10', '57R20', '58D29', '58J99']"
7367638,Advances in Mathematics,2021,"['11B25']","['05-02', '05A05', '05B10', '05D05', '05D10', '05D10', '05D40', '05D40', '05E15', '11-02', '11B13', '11B13', '11B13', '11B13', '11B13', '11B13', '11B25', '11B25', '11B25', '11B25', '11B25', '11B25', '11B25', '11B25', '11B25', '11B25', '11B25', '11B25', '11B25', '11B25', '11B25', '11B25', '11B25', '11B25', '11B30', '11B30', '11B30', '11B30', '11B30', '11B30', '11B30', '11B30', '11B30', '11B30', '11B30', '11B30', '11B30', '11B75', '11B75', '11B75', '11B75', '11B75', '11B75', '11B75', '11B83', '11K31', '11K70', '11L03', '11N13', '11N13', '11N13', '11N13', '11N35', '11P55', '11P55', '11P55', '11P55', '11P55', '11P70', '11P70', '11P70', '11P82', '11T55', '11T99', '20K01', '28D05', '37A45', '42A05', '51E20']"
7367639,Advances in Mathematics,2021,"['03Cxx']","['03-01', '03-02', '03C35', '03C35', '03C35', '03C35', '03C57', '03C57', '03C57', '03C57', '03C57', '03C57', '03C57', '03C62', '03C65', '03D25', '03D25', '03D28', '03D45', '03D45', '03Dxx', '03H15']"
7367640,Advances in Mathematics,2021,"['53A31', '53C42', '49Q10']","['30C70', '32G13', '34L30', '35J35', '35J35', '35J48', '35J50', '35J65', '35R01', '37K15', '37K25', '37K35', '46G05', '47-02', '47J05', '47J25', '49J35', '49M30', '49Q05', '49Q05', '49Q05', '49Q10', '49Q10', '49Q10', '49Q10', '49Q10', '49Q10', '49Q10', '49Q10', '49Q10', '49Q10', '49Q15', '49Q15', '49Q20', '49Q20', '53-02', '53-02', '53A05', '53A05', '53A05', '53A05', '53A05', '53A05', '53A05', '53A05', '53A05', '53A05', '53A05', '53A07', '53A07', '53A07', '53A07', '53A10', '53A10', '53A10', '53A10', '53A10', '53A10', '53A10', '53A30', '53A30', '53A30', '53A30', '53A30', '53A30', '53A30', '53A30', '53A30', '53A30', '53A30', '53A30', '53A30', '53A30', '53A30', '53A30', '53A30', '53A30', '53A31', '53B25', '53C21', '53C21', '53C21', '53C21', '53C26', '53C40', '53C40', '53C40', '53C42', '53C42', '53C42', '53C42', '53C42', '53C42', '53C42', '53C42', '53C42', '53C42', '53C42', '53C42', '53C42', '53C42', '53C42', '53C42', '53C42', '53C42', '53C43', '53C43', '53C43', '53C43', '53C44', '53C50', '53C65', '57R40', '58C40', '58E12', '58E15', '58E20', '58E30', '58E30', '58J50', '58J50', '58J72']"
